No,Date,Time,PA of Inning,Pitch of PA,Pitcher,Pitcher ID,Pitcher Handedness,Pitcher Team,Batter,Batter ID,Batter Handedness,Batter Team,Pitch Set,Col15,Top/Bottom,Col17,Col18,Col19,Pitch Type,Col21,Pitch Call,Col23,Col24,Col25,Col26,Col27,Notes,Pitch Speed [mph],Pitch Launch (V) [°],Pitch Launch (H) [°],Pitch Spin [rpm],Pitch Spin Direction [°],Pitch Spin Tilt,Pitch Release Height [ft],Pitch Release Side [ft],Pitch Extension [ft],Pitch Break (V) [in],Pitch Break Ind (V) [in],Pitch Break (H) [in],Pitch Strike Zone - Height [ft],Pitch Strike Zone - Offset [ft],Pitch Zone Speed [mph],Pitch Approach (V) [°],Pitch Approach (H) [°],Pitch Time [s],Hit Ball Speed [mph],Hit Ball Launch (V) [°],Hit Ball Launch (H) [°],Hit Spin [rpm],Col51,Col52,Col53,Hit Carry Distance [ft],Col55,Col56,Hit Ball Flight Time [s],pfxx [in],pfxz [in],x0 [ft],y0 [ft],z0 [ft],vx0 [ft/s],vy0 [ft/s],vz0 [ft/s],ax [ft/s²],ay [ft/s²],az [ft/s²],Home Team,Away Team,Col71,Col72,Col73,Col74,GUID,px [ft],pz [ft],Supervisor
1,9/11/2021,14:49:33,0,0,Nolan Mederos,{02EEBD84-ED02-499C-AAEC-504F73410396},R,Black,Cole Yennaco,{EAFF9E06-C6AA-42A5-B322-E40B70A8B9C3},R,Purple,-,,Top,,,,,,,,,,,,,77.501,0.317,-1.324,1726,200.092,12:45,6.682,2.625,7.026,-25.829,18.088,7.135,4.818,2.017,69.909,-4.653,0.052,0.485,,,,,,,,,,,,-4.413,10.884,-2.548,50.001,6.692,2.431,-111.992,0.053,-5.563,21.594,-18.452,Black,Purple,,,,,{8A519E74-B0BB-443C-A7FC-AC43D484383C},-2.017,4.818,
2,9/11/2021,14:49:44,0,0,Nolan Mederos,{02EEBD84-ED02-499C-AAEC-504F73410396},R,Black,Cole Yennaco,{EAFF9E06-C6AA-42A5-B322-E40B70A8B9C3},R,Purple,-,,Top,,,,,,,,,,,,,78.345,1.226,-0.835,1843,235.943,1:45,6.028,2.773,7.068,-37.596,4.99,9.304,4.009,2.79,71.232,-5.999,0.959,0.477,,,,,,,,,,,,-5.488,3.184,-2.726,50.001,6.089,1.451,-113.648,1.604,-7.14,21.85,-28.032,Black,Purple,,,,,{409C1A63-BFC1-498C-B699-6DFDBA3821BC},-2.79,4.009,
3,9/11/2021,14:49:57,0,0,Nolan Mederos,{02EEBD84-ED02-499C-AAEC-504F73410396},R,Black,Cole Yennaco,{EAFF9E06-C6AA-42A5-B322-E40B70A8B9C3},R,Purple,-,,Top,,,,,,,,,,,,,78.743,0.778,-2.67,1873,227.776,1:30,6.277,3.005,7.28,-30.975,10.861,13.856,4.399,1.744,70.759,-5.234,0.024,0.475,,,,,,,,,,,,-8.759,6.894,-2.859,50.001,6.311,5.036,-114.16,0.907,-11.37,24.202,-23.224,Black,Purple,,,,,{2C85DA7B-4410-4808-A326-7E0193D2EF54},-1.744,4.399,
4,9/11/2021,14:50:07,0,0,Nolan Mederos,{02EEBD84-ED02-499C-AAEC-504F73410396},R,Black,Cole Yennaco,{EAFF9E06-C6AA-42A5-B322-E40B70A8B9C3},R,Purple,-,,Top,,,,,,,,,,,,,65.68,3.409,-1.967,1648,34.398,7:15,5.945,2.737,7.019,-76.423,-15.304,-7.891,2.679,0.291,58.501,-11.403,-3.512,0.58,,,,,,,,,,,,3.685,-7.911,-2.615,50.001,6.127,3.402,-94.899,4.272,3.22,20.153,-39.088,Black,Purple,,,,,{7E82A558-F856-4D4A-9FA0-05526D0F6ED3},-0.291,2.679,
5,9/11/2021,14:50:17,0,0,Nolan Mederos,{02EEBD84-ED02-499C-AAEC-504F73410396},R,Black,Cole Yennaco,{EAFF9E06-C6AA-42A5-B322-E40B70A8B9C3},R,Purple,-,,Top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,Purple,,,,,{933A8D76-32B9-40FC-98D8-DB8510E93E50},,,
6,9/11/2021,14:50:30,0,0,Nolan Mederos,{02EEBD84-ED02-499C-AAEC-504F73410396},R,Black,Cole Yennaco,{EAFF9E06-C6AA-42A5-B322-E40B70A8B9C3},R,Purple,-,,Top,,,,,,,,,,,,,68.094,0.737,-0.996,1817,211.828,1:00,6.125,2.909,6.751,-52.353,5.073,4.826,2.436,2.401,61.055,-9.317,-0.062,0.558,,,,,,,,,,,,-3.054,4.091,-2.846,50.001,6.153,1.614,-98.44,0.204,-2.919,19.369,-28.263,Black,Purple,,,,,{0F350E4E-F859-4934-87B0-4C08408C9FFC},-2.401,2.436,
7,9/11/2021,14:50:46,0,0,Nolan Mederos,{02EEBD84-ED02-499C-AAEC-504F73410396},R,Black,Cole Yennaco,{EAFF9E06-C6AA-42A5-B322-E40B70A8B9C3},R,Purple,-,,Top,,,,,,,,,,,,,76.982,-1.221,-0.936,1727,209.179,1:00,6.494,2.991,7.173,-26.214,17.449,10.572,3.203,3.024,69.985,-6.269,1.11,0.484,,,,,,,,,,,,-6.272,11.097,-2.94,50.001,6.415,1.606,-112.008,-2.941,-7.893,22.017,-18.21,Black,Purple,,,,,{337F6E40-448B-43C2-BD8C-776131F67270},-3.024,3.203,
8,9/11/2021,14:50:53,0,0,Nolan Mederos,{02EEBD84-ED02-499C-AAEC-504F73410396},R,Black,Cole Yennaco,{EAFF9E06-C6AA-42A5-B322-E40B70A8B9C3},R,Purple,-,,Top,,,,,,,,,,,,,51.354,6.302,6.632,2009,152.637,11:00,7.627,1.149,8.395,,,,,,43.393,-2.176,0.022,,,,,,,,,,,,,22.842,34.216,-1.39,50.001,7.855,-8.324,-74.035,7.865,11.757,14.785,-14.564,Black,Purple,,,,,{4C6A64C4-2233-47AA-AD7B-1D03802A996D},-4.336,9.779,
9,9/11/2021,14:51:24,0,0,Nolan Mederos,{02EEBD84-ED02-499C-AAEC-504F73410396},R,Black,Cole Yennaco,{EAFF9E06-C6AA-42A5-B322-E40B70A8B9C3},R,Purple,-,,Top,,,,,,,,,,,,,79.404,-1.497,-5.591,1799,245.872,2:15,6.211,3.196,7.133,-32.016,9.846,25.706,2.178,0.252,71.292,-7.67,-0.621,0.475,,,,,,,,,,,,-16.378,7.017,-2.875,50.001,6.112,10.645,-114.433,-3.698,-21.369,24.263,-23.019,Black,Purple,,,,,{C310D66F-BEB9-483E-A127-738FF96E28B4},-0.252,2.178,
10,9/11/2021,14:51:40,0,0,Nolan Mederos,{02EEBD84-ED02-499C-AAEC-504F73410396},R,Black,Cole Yennaco,{EAFF9E06-C6AA-42A5-B322-E40B70A8B9C3},R,Purple,-,,Top,,,,,,,,,,,,,81.007,-4.715,-0.398,1790,144.366,10:45,7.224,2.244,6.885,-13.538,26.339,-20.209,1.79,0.197,72.924,-7.292,-4.31,0.465,,,,,,,,,,,,11.224,17.547,-2.212,50.001,6.921,1.294,-117.684,-10.026,15.36,27.356,-8.16,Black,Purple,,,,,{169DABEF-BE88-4E28-A529-C9F15FC23033},-0.197,1.79,
