No,Date,Time,PA of Inning,Pitch of PA,Pitcher,Pitcher ID,Pitcher Handedness,Pitcher Team,Batter,Batter ID,Batter Handedness,Batter Team,Pitch Set,Col15,Top/Bottom,Col17,Col18,Col19,Pitch Type,Col21,Pitch Call,Col23,Col24,Col25,Col26,Col27,Notes,Pitch Speed [mph],Pitch Launch (V) [°],Pitch Launch (H) [°],Pitch Spin [rpm],Pitch Spin Direction [°],Pitch Spin Tilt,Pitch Release Height [ft],Pitch Release Side [ft],Pitch Extension [ft],Pitch Break (V) [in],Pitch Break Ind (V) [in],Pitch Break (H) [in],Pitch Strike Zone - Height [ft],Pitch Strike Zone - Offset [ft],Pitch Zone Speed [mph],Pitch Approach (V) [°],Pitch Approach (H) [°],Pitch Time [s],Hit Ball Speed [mph],Hit Ball Launch (V) [°],Hit Ball Launch (H) [°],Hit Spin [rpm],Col51,Col52,Col53,Hit Carry Distance [ft],Col55,Col56,Hit Ball Flight Time [s],pfxx [in],pfxz [in],x0 [ft],y0 [ft],z0 [ft],vx0 [ft/s],vy0 [ft/s],vz0 [ft/s],ax [ft/s²],ay [ft/s²],az [ft/s²],Home Team,Away Team,Col71,Col72,Col73,Col74,GUID,px [ft],pz [ft],Supervisor
1,9/11/2021,9:06:34,0,0,Harrison Nichols,{8C2155FD-431C-412A-9D59-0390467BFBFB},R,Royal,Maxwell Riordan,{D5334D8D-DD06-4716-8305-CC5C5D476007},R,Navy,-,,Top,,,,,,,,,,,,,72.46,0.355,-3.844,1643,240.845,2:00,6.29,3.702,7.629,-36.296,12.692,26.489,3.585,2.452,65.038,-6.729,1.345,0.514,,,,,,,,,,,,-16.572,8.384,-3.515,50.001,6.299,6.592,-104.881,0.027,-18.106,20.9,-23.015,Royal,Navy,,,,,{315E0930-35C5-41F8-B62F-5D3860EB12B9},-2.452,3.585,
2,9/11/2021,9:06:54,0,0,Harrison Nichols,{8C2155FD-431C-412A-9D59-0390467BFBFB},R,Royal,Jacob Moniz,{E66D5338-2046-46EE-A5E9-5F7D5DDEF974},R,Navy,-,,Top,,,,,,,,,,,,,65.165,3.305,-4.708,1402,313.997,4:30,4.923,4.15,7.671,-70.557,-10.326,6.986,2.022,0.498,58.206,-10.531,-3.329,0.575,,,,,,,,,,,,-5.918,-5.239,-3.918,50.001,5.071,7.677,-94.498,4.413,-5.142,19.648,-36.726,Royal,Navy,,,,,{447C3CED-EB61-4DE7-901B-9010DE15D5B4},-0.498,2.022,
3,9/11/2021,9:07:15,0,0,Harrison Nichols,{8C2155FD-431C-412A-9D59-0390467BFBFB},R,Royal,Jacob Moniz,{E66D5338-2046-46EE-A5E9-5F7D5DDEF974},R,Navy,-,,Top,,,,,,,,,,,,,66.319,2.682,-5.409,1771,270.268,3:00,5.227,4.153,7.581,-61.144,-2.369,21.909,2.555,1.102,60.014,-9.185,-1.139,0.562,,,,,,,,,,,,-14.372,-0.989,-3.882,50.001,5.349,8.733,-95.933,3.534,-13.18,17.042,-33.081,Royal,Navy,,,,,{3A14F0F5-9579-41C9-A13F-62B20C5078B5},-1.102,2.555,
4,9/11/2021,9:07:52,0,0,Harrison Nichols,{8C2155FD-431C-412A-9D59-0390467BFBFB},R,Royal,Rohan Donahue,{2C23C1D1-8288-4A50-915D-321C09BBE1B7},R,Navy,-,,Top,,,,,,,,,,,,,73.109,-0.993,-7.669,1665,255.303,2:30,6.893,3.304,7.791,-43.136,5.657,26.679,2.401,-1.38,66.369,-9.333,-2.504,0.51,,,,,,,,,,,,-17.673,4.34,-2.945,50.001,6.836,13.68,-104.864,-2.547,-19.599,18.398,-27.361,Royal,Navy,,,,,{4E52D39B-6B53-4A62-8BB1-4F70C9577BF6},1.38,2.401,
5,9/11/2021,9:08:11,0,0,Harrison Nichols,{8C2155FD-431C-412A-9D59-0390467BFBFB},R,Royal,Rohan Donahue,{2C23C1D1-8288-4A50-915D-321C09BBE1B7},R,Navy,-,,Top,,,,,,,,,,,,,73.494,-1.591,-4.145,1733,207.954,1:00,5.978,3.141,7.6,-26.799,20.901,11.875,2.311,0.399,66.727,-6.781,-1.838,0.505,,,,,,,,,,,,-8.064,13.326,-2.933,50.001,5.891,7.501,-106.403,-3.44,-9.181,19.421,-17.002,Royal,Navy,,,,,{11447CD3-D245-4E0F-8A00-9FF274A03060},-0.399,2.311,
6,9/11/2021,9:08:32,0,0,Harrison Nichols,{8C2155FD-431C-412A-9D59-0390467BFBFB},R,Royal,Rohan Donahue,{2C23C1D1-8288-4A50-915D-321C09BBE1B7},R,Navy,-,,Top,,,,,,,,,,,,,63.957,1.13,-1.235,1012,258.065,2:30,5.955,2.927,7.8,-64.346,-2.412,3.793,1.604,2.137,57.784,-11.449,-0.485,0.581,,,,,,,,,,,,-2.666,0.048,-2.87,50.001,5.995,1.951,-92.98,0.914,-2.261,17.973,-32.133,Royal,Navy,,,,,{3FB4D883-CA06-427D-BC3C-757CA283546B},-2.137,1.604,
7,9/11/2021,9:08:51,0,0,Harrison Nichols,{8C2155FD-431C-412A-9D59-0390467BFBFB},R,Royal,Rohan Donahue,{2C23C1D1-8288-4A50-915D-321C09BBE1B7},R,Navy,-,,Top,,,,,,,,,,,,,73.73,-0.984,-2.396,1671,169.077,11:45,6,2.485,7.501,-44.966,2.449,-0.895,1.366,0.252,66.526,-9.698,-2.571,0.507,,,,,,,,,,,,-0.317,3.005,-2.359,50.001,5.937,4.486,-106.821,-2.653,-0.358,22.427,-28.783,Royal,Navy,,,,,{865E04A9-6CCD-4972-9C12-24ACC424E54F},-0.252,1.366,
8,9/11/2021,9:09:13,0,0,Harrison Nichols,{8C2155FD-431C-412A-9D59-0390467BFBFB},R,Royal,Rohan Donahue,{2C23C1D1-8288-4A50-915D-321C09BBE1B7},R,Navy,-,,Top,,,,,,,,,,,,,74.378,-0.73,-4.186,1683,242.067,2:00,6.413,3.426,7.473,-40.051,7.027,16.461,2.416,1.021,67.199,-8.475,-0.984,0.503,70.255,30.686,32.199,330,,,,251.477,,,3.656,-10.749,5.226,-3.209,50.001,6.364,7.548,-107.308,-2.114,-12.376,20.736,-26.156,Royal,Navy,,,,,{6AF99447-A139-46C1-87AC-DA7CE7F7B5EB},-1.021,2.416,
9,9/11/2021,9:09:34,0,0,Harrison Nichols,{8C2155FD-431C-412A-9D59-0390467BFBFB},R,Royal,Rohan Donahue,{2C23C1D1-8288-4A50-915D-321C09BBE1B7},R,Navy,-,,Top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal,Navy,,,,,{52E5EB14-DB5B-4DBE-A740-064E73678A76},,,
10,9/11/2021,9:09:55,0,0,Harrison Nichols,{8C2155FD-431C-412A-9D59-0390467BFBFB},R,Royal,Rohan Donahue,{2C23C1D1-8288-4A50-915D-321C09BBE1B7},R,Navy,-,,Top,,,,,,,,,,,,,75.542,0.097,-3.588,1783,257.353,2:30,6.31,3.275,7.295,-42.056,3.669,24.837,2.893,2.097,67.978,-8.041,1.246,0.497,,,,,,,,,,,,-15.343,3.136,-3.081,50.001,6.304,6.356,-109.199,-0.647,-18.191,22.469,-28.456,Royal,Navy,,,,,{3DA5D201-8BF8-4F45-BD2B-A2D0A5E1D052},-2.097,2.893,
11,9/11/2021,9:11:50,0,0,Nicholas Nasiff,{EAA0FFDB-B2F5-4623-A6AE-E291598A2BC8},R,Navy,Mike  Seibert,{4AD65270-3D70-4BE0-A2F5-F85295C487B2},R,Royal,-,,Bottom,,,,,,,,,,,,,72.846,0.669,-5.299,1795,300.355,4:00,5.932,3.436,7.711,-54.254,-5.447,6.579,2.013,-0.781,66.295,-9.815,-4.022,0.511,,,,,,,,,,,,-5.43,-2.426,-3.179,50.001,5.952,9.626,-104.975,0.313,-5.999,19.402,-34.855,Royal,Navy,,,,,{50E364A8-FF20-46F9-AB6E-656200AB5907},0.781,2.013,
12,9/11/2021,9:12:18,0,0,Nicholas Nasiff,{EAA0FFDB-B2F5-4623-A6AE-E291598A2BC8},R,Navy,Mike  Seibert,{4AD65270-3D70-4BE0-A2F5-F85295C487B2},R,Royal,-,,Bottom,,,,,,,,,,,,,73.106,-0.141,-2.824,1783,219.801,1:15,7.103,3.35,7.671,-27.88,20.248,18.959,4.653,2.394,64.764,-5.624,0.915,0.512,,,,,,,,,,,,-12.018,13.22,-3.215,50.001,7.09,4.891,-105.69,-0.734,-13.188,23.019,-17.668,Royal,Navy,,,,,{68668329-6664-4B7E-91D5-BE74BD2C6807},-2.394,4.653,
